"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 0.5 0.5 4 1 0.447905388086176 0.0520946119138241 0.178208780551269 FALSE ""
100 0.5 1 2 2 0.373586144546055 0.126413855453945 0.165634857444335 FALSE ""
250 0.5 0.25 2 3 0.566271687527065 0.0662716875270648 0.219884485955902 FALSE ""
100 1 0.25 1 4 1.07505363646018 0.0750536364601768 0.500340141210393 FALSE ""
100 1 1 2 5 1.04094269222227 0.0409426922222664 0.558116501352701 FALSE ""
250 0.5 1 2 6 0.473489096337202 0.0265109036627982 0.190399733797443 FALSE ""
50 0 0.5 2 7 -0.000545908815747229 0.000545908815747229 3.25714562824531e-07 FALSE ""
250 1 0.25 3 8 0.936656776236466 0.0633432237635335 0.479844427407592 FALSE ""
250 0 0.25 4 9 -0.0134575425754512 0.0134575425754512 0.000186091305815756 FALSE ""
50 0.5 0.5 4 10 0.439875539070149 0.0601244609298514 0.138480370081288 FALSE ""
250 0 0.5 3 11 0.0103600586060092 0.0103600586060092 0.000116521833627752 FALSE ""
100 0 0.25 1 12 -0.120484490382685 0.120484490382685 0.0135177236914514 FALSE ""
50 1 1 3 13 1.06979028656844 0.069790286568445 0.493471662015417 FALSE ""
250 0.5 1 4 14 0.441371026494012 0.058628973505988 0.161067210543333 FALSE ""
50 1 1 5 15 0.841326069054471 0.158673930945529 0.388374079250065 FALSE ""
50 1 1 1 16 1.03104425338006 0.031044253380059 0.594349797008986 FALSE ""
50 1 0.5 4 17 0.978399833643111 0.021600166356889 0.531747406323529 FALSE ""
250 0 0.25 3 18 0.101752312226649 0.101752312226649 0.00936521861129355 FALSE ""
50 1 0.25 1 19 0.97609129703623 0.0239087029637702 0.429432118815838 FALSE ""
50 0.5 1 5 20 0.814679546406868 0.314679546406868 0.495788980816703 FALSE ""
250 0 1 1 21 -0.0786860907729958 0.0786860907729958 0.00675133801355527 FALSE ""
100 0 1 5 22 -0.0625734553849515 0.0625734553849515 0.00366943335660575 FALSE ""
100 0 1 2 23 -0.0899469512008703 0.0899469512008703 0.00843270068801386 FALSE ""
50 0.5 0.5 1 24 0.606742814171972 0.106742814171972 0.255730945395627 FALSE ""
250 0 0.25 1 25 0.0898153746028812 0.0898153746028812 0.00812389732238759 FALSE ""
250 0 1 2 26 0.0420126334305864 0.0420126334305864 0.00168304826192859 FALSE ""
250 0.5 0.5 2 27 0.490653826117382 0.00934617388261832 0.171177124906809 FALSE ""
250 0 0.5 1 28 -0.0995878026326105 0.0995878026326105 0.00915562084469136 FALSE ""
50 0.5 0.25 5 29 0.749638024564781 0.249638024564781 0.320293741939717 FALSE ""
250 1 0.25 5 30 0.975348065939066 0.0246519340609337 0.563652938626462 FALSE ""
50 0.5 1 4 31 0.32514401003703 0.17485598996297 0.117299939600848 FALSE ""
250 1 1 1 32 1.02344138504442 0.0234413850444155 0.561099980914862 FALSE ""
50 1 0.5 1 33 0.906089289706628 0.0939107102933717 0.444663024714972 FALSE ""
250 0.5 0.25 3 34 0.449635210284183 0.0503647897158169 0.199607166612556 FALSE ""
250 0 0.25 5 35 -0.100434563679999 0.100434563679999 0.0102825683070772 FALSE ""
100 0.5 1 4 36 0.522264135446787 0.0222641354467865 0.217322433604599 FALSE ""
250 1 0.5 4 37 1.00474855030677 0.00474855030676746 0.51450409043114 FALSE ""
250 1 0.25 1 38 1.01930729086604 0.0193072908660394 0.524078956064976 FALSE ""
100 1 0.5 1 39 1.0017584279199 0.00175842791989655 0.532791921163509 FALSE ""
100 0.5 0.25 2 40 0.567244495594323 0.0672444955943226 0.236842655115855 FALSE ""
100 1 1 3 41 1.04589238161744 0.0458923816174428 0.586582051449888 FALSE ""
250 1 0.25 2 42 0.981686204902016 0.0183137950979838 0.457562786485956 FALSE ""
250 0.5 0.25 1 43 0.539368821403364 0.0393688214033644 0.222588199165118 FALSE ""
100 0.5 0.5 3 44 0.561374970407196 0.0613749704071959 0.208857818319545 FALSE ""
50 0.5 1 3 45 0.557464985522467 0.0574649855224671 0.19812550478051 FALSE ""
50 1 0.25 3 46 0.948043267788986 0.0519567322110139 0.649996329752611 FALSE ""
50 0.5 0.5 3 47 0.426049995643132 0.073950004356868 0.148134994942399 FALSE ""
250 1 0.5 1 48 0.898200595549798 0.101799404450202 0.466429288858083 FALSE ""
50 1 0.5 3 49 1.04896724531431 0.0489672453143137 0.433708425347211 FALSE ""
250 0.5 1 5 50 0.43275947488291 0.0672405251170904 0.145659703350265 FALSE ""
50 0 1 2 51 0.0876122440702262 0.0876122440702262 0.00781166127433566 FALSE ""
50 0.5 1 2 52 0.399795056584178 0.100204943415822 0.125284998914354 FALSE ""
50 0 0.25 4 53 0.0583004621682911 0.0583004621682911 0.00300210412038488 FALSE ""
50 0 0.25 3 54 -0.0697890410545608 0.0697890410545608 0.00311798977020977 FALSE ""
100 0.5 0.5 1 55 0.613724458483887 0.113724458483887 0.281507579732329 FALSE ""
100 0 1 4 56 -0.0642980133475803 0.0642980133475803 0.00381016674011192 FALSE ""
250 0.5 0.5 5 57 0.552268411275474 0.0522684112754744 0.266469476160667 FALSE ""
100 0 0.5 5 58 -0.0257258592673385 0.0257258592673385 0.000641386142140961 FALSE ""
100 1 0.5 4 59 0.816069979523389 0.183930020476611 0.376397810023485 FALSE ""
250 0.5 0.25 5 60 0.508581436924128 0.00858143692412827 0.215979048879482 FALSE ""
250 0.5 1 1 61 0.570838203492938 0.0708382034929383 0.250592028488793 FALSE ""
50 0 0.25 1 62 -0.188237225405733 0.188237225405733 0.0318734187443072 FALSE ""
100 0 0.5 3 63 0.0477107312983461 0.0477107312983461 0.00237422262724509 FALSE ""
50 1 1 4 64 1.18756281354536 0.187562813545359 0.560415103600143 FALSE ""
100 1 1 1 65 0.79994626620763 0.20005373379237 0.344343460047297 FALSE ""
250 1 0.25 4 66 0.962873298516303 0.0371267014836967 0.494285194232305 FALSE ""
50 0 1 3 67 0.0752565269163775 0.0752565269163775 0.00493896381834817 FALSE ""
250 0 1 4 68 0.0757884564789808 0.0757884564789808 0.00540536571081695 FALSE ""
50 0.5 0.5 5 69 0.411356531173328 0.0886434688266725 0.0977004815731878 FALSE ""
50 0 0.5 5 70 0.0624193613423621 0.0624193613423621 0.00234142759962464 FALSE ""
250 0 1 5 71 -0.0889574384257938 0.0889574384257938 0.00702709495961513 FALSE ""
50 0 0.5 3 72 -0.0166841976532039 0.0166841976532039 0.000294962303618856 FALSE ""
100 0.5 1 5 73 0.513766605633369 0.0137666056333688 0.194367271831364 FALSE ""
100 0 1 1 74 -0.0627752801752037 0.0627752801752037 0.00347940680895542 FALSE ""
100 1 0.5 5 75 1.03922840735485 0.0392284073548459 0.46151355761422 FALSE ""
50 0.5 0.25 3 76 0.697037699885649 0.197037699885649 0.348027899473344 FALSE ""
250 0 0.25 2 77 0.0385806330509705 0.0385806330509705 0.00136484495078914 FALSE ""
100 0.5 1 1 78 0.476688969533844 0.0233110304661558 0.210492124720554 FALSE ""
50 0 0.5 1 79 -0.0771278228061461 0.0771278228061461 0.00765040295294154 FALSE ""
50 1 0.5 5 80 1.13179364867154 0.131793648671543 0.586281612749758 FALSE ""
250 0 1 3 81 0.0208429732825252 0.0208429732825252 0.00042975369894559 FALSE ""
100 1 1 4 82 0.926631018647199 0.0733689813528009 0.380424969407908 FALSE ""
100 0 0.25 3 83 -0.181128334456852 0.181128334456852 0.0482884857222784 FALSE ""
