"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 1 0.25 4 1 1.02936767927137 0.0293676792713666 0.522136766447351 FALSE ""
250 0.5 0.5 5 2 0.471434950891887 0.0285650491081127 0.160843543204336 FALSE ""
100 1 0.25 5 3 0.927865821696445 0.0721341783035548 0.439761877517066 FALSE ""
250 1 0.5 4 4 0.956402110136518 0.043597889863482 0.500192000443615 FALSE ""
100 1 0.5 3 5 0.959397243339818 0.0406027566601824 0.430041797958068 FALSE ""
250 0 0.5 3 6 -0.0528982982073521 0.0528982982073521 0.00244318993595985 FALSE ""
100 1 0.5 1 7 1.10876471979467 0.108764719794671 0.533306386845758 FALSE ""
50 1 1 1 8 1.18120775637399 0.181207756373986 0.641631171015361 FALSE ""
50 0.5 0.5 2 9 0.482193995444722 0.0178060045552779 0.306592853245158 FALSE ""
50 0 0.5 5 10 -0.0681623958178176 0.0681623958178176 0.00435088613597555 FALSE ""
50 0.5 0.25 5 11 0.485910946580731 0.0140890534192687 0.159065134769991 FALSE ""
100 0.5 0.25 2 12 0.469308950477715 0.0306910495222847 0.193325032462026 FALSE ""
100 0.5 0.25 3 13 0.415816246093562 0.0841837539064382 0.170747599024018 FALSE ""
250 0.5 0.5 3 14 0.404918473775804 0.0950815262241963 0.128010775448477 FALSE ""
50 1 1 2 15 1.0446529214149 0.044652921414903 0.585939808003955 FALSE ""
250 1 1 5 16 0.993078186465854 0.00692181353414634 0.514304498020164 FALSE ""
100 0 1 2 17 0.0320885828492656 0.0320885828492656 0.00110241526986028 FALSE ""
50 0.5 0.25 3 18 0.694367004170539 0.194367004170539 0.324145932283415 FALSE ""
50 0.5 1 2 19 0.698610793875279 0.198610793875279 0.384776204053099 FALSE ""
250 0.5 1 1 20 0.485395508224273 0.0146044917757272 0.229706013937794 FALSE ""
50 0.5 0.5 1 21 0.520282792041763 0.0202827920417633 0.252072123429541 FALSE ""
100 1 1 4 22 0.96147078720318 0.0385292127968203 0.450312143853843 FALSE ""
250 1 0.5 5 23 0.966607063431235 0.033392936568765 0.431726851756766 FALSE ""
250 0.5 0.5 2 24 0.488848819939947 0.0111511800600532 0.171127328780246 FALSE ""
