"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 1 0.5 5 1 0.830337607607004 0.169662392392996 0.402626164547257 FALSE ""
50 0.5 0.5 1 2 0.551968789022119 0.0519687890221191 0.29414374523563 FALSE ""
50 1 0.5 4 3 1.04680086917289 0.0468008691728914 0.581486764807327 FALSE ""
100 0.5 0.25 2 4 0.58089435057567 0.0808943505756698 0.22549640637243 FALSE ""
250 1 0.5 2 5 1.01059674918945 0.0105967491894545 0.547275812661507 FALSE ""
250 0 0.5 3 6 0.0948861686926979 0.0948861686926979 0.00915980228012677 FALSE ""
50 1 1 4 7 0.966292269893812 0.0337077301061876 0.36095122654067 FALSE ""
50 0 0.5 3 8 0.129640386922025 0.129640386922025 0.0131358158162637 FALSE ""
250 0 0.5 4 9 0.0107774524896664 0.0107774524896664 0.000100918694557675 FALSE ""
100 0 0.5 3 10 -0.063123259760403 0.063123259760403 0.0043070937251652 FALSE ""
100 0 0.5 4 11 0.0505023259637192 0.0505023259637192 0.00353184933723732 FALSE ""
250 0.5 0.25 5 12 0.428394426530139 0.071605573469861 0.156850247073099 FALSE ""
100 0 0.25 5 13 -0.0266548712105158 0.0266548712105158 0.000577963243274581 FALSE ""
50 0 0.25 1 14 0.0763131577675719 0.0763131577675719 0.00430246705683831 FALSE ""
100 0.5 0.5 2 15 0.699666232623301 0.199666232623301 0.313735557406792 FALSE ""
50 0.5 1 3 16 0.48348440317002 0.0165155968299802 0.320444515329681 FALSE ""
250 0 0.5 2 17 0.0382656015025918 0.0382656015025918 0.00163151701394441 FALSE ""
100 1 1 5 18 0.917145164254228 0.0828548357457721 0.387479822899381 FALSE ""
100 0.5 1 5 19 0.368577849734615 0.131422150265385 0.110350841635212 FALSE ""
100 0 1 4 20 0.0503783223554328 0.0503783223554328 0.00215110918692452 FALSE ""
50 0.5 0.25 1 21 0.481928352140158 0.0180716478598423 0.173808852998601 FALSE ""
250 0.5 1 1 22 0.560428954452539 0.0604289544525395 0.251858865665811 FALSE ""
250 0.5 0.5 3 23 0.366096852872587 0.133903147127413 0.144011391799329 FALSE ""
250 0 1 1 24 0.129847023199989 0.129847023199989 0.0157393421887271 FALSE ""
250 0 0.25 5 25 0.216833588953653 0.216833588953653 0.0461440204088748 FALSE ""
250 1 0.25 2 26 1.01065099514412 0.0106509951441158 0.472493708713135 FALSE ""
100 1 0.5 1 27 0.860190648115274 0.139809351884726 0.37713729663489 FALSE ""
100 0 1 1 28 0.00966198228587247 0.00966198228587247 0.000103355894655421 FALSE ""
250 1 0.25 5 29 0.982940984314075 0.0170590156859246 0.470778475794675 FALSE ""
50 1 0.25 3 30 1.04755126118804 0.0475512611880398 0.611807064291349 FALSE ""
250 1 0.25 4 31 1.01349822703405 0.0134982270340545 0.535519233235704 FALSE ""
100 0 1 3 32 -0.199171184984628 0.199171184984628 0.0450157226709719 FALSE ""
50 0.5 0.5 2 33 0.415843302462534 0.0841566975374656 0.101631811585225 FALSE ""
100 1 0.5 4 34 1.03762201613059 0.0376220161305922 0.556465520714573 FALSE ""
50 1 0.25 1 35 1.22796204637591 0.227962046375907 0.71437155264698 FALSE ""
250 1 0.5 4 36 1.06951955276258 0.0695195527625823 0.483007661988106 FALSE ""
100 0 1 5 37 0.0507241768668131 0.0507241768668131 0.00298942047240903 FALSE ""
250 0 0.25 2 38 -0.0198227371127355 0.0198227371127355 0.000378485862677233 FALSE ""
250 1 1 5 39 0.99346753926048 0.00653246073952007 0.524580174478279 FALSE ""
100 0.5 0.25 5 40 0.433110489013401 0.0668895109865991 0.116575777852194 FALSE ""
100 1 1 3 41 0.96642002810131 0.0335799718986896 0.435461888842388 FALSE ""
250 0.5 1 5 42 0.486586093764205 0.0134139062357952 0.192489342928942 FALSE ""
250 0.5 0.5 5 43 0.555724189433322 0.0557241894333225 0.244176217549181 FALSE ""
50 0.5 0.25 5 44 0.471673983464817 0.0283260165351833 0.146804511268288 FALSE ""
250 0.5 0.5 4 45 0.494803500048575 0.00519649995142463 0.186665639791835 FALSE ""
100 0 1 2 46 0.0243632443306859 0.0243632443306859 0.000423425809524225 FALSE ""
50 0 1 3 47 -0.327757344293095 0.327757344293095 0.122599257429113 FALSE ""
100 0.5 0.25 1 48 0.612489922196343 0.112489922196343 0.276320346284446 FALSE ""
100 1 0.5 2 49 1.00259725867898 0.0025972586789782 0.433408777006112 FALSE ""
250 0.5 1 2 50 0.528204836775024 0.0282048367750244 0.20000703824289 FALSE ""
100 0.5 0.5 1 51 0.698804266833876 0.198804266833876 0.345621746931882 FALSE ""
