"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 1 0.5 1 1 0.835513974409391 0.164486025590609 0.348519728457051 FALSE ""
250 0 0.5 2 2 -0.0104796212545066 0.0104796212545066 0.00010638090656612 FALSE ""
250 0.5 0.25 5 3 0.438789512413754 0.0612104875862463 0.176644155022769 FALSE ""
100 0 0.25 3 4 0.10681500270072 0.10681500270072 0.0095074246489123 FALSE ""
250 0.5 0.5 1 5 0.485507044245316 0.014492955754684 0.172373661376621 FALSE ""
250 0.5 0.5 4 6 0.515673777133696 0.0156737771336961 0.211465622798363 FALSE ""
50 0.5 0.25 4 7 0.632172137364419 0.132172137364419 0.227011504564741 FALSE ""
250 0 0.5 1 8 -0.0419805868296958 0.0419805868296958 0.00205498500562245 FALSE ""
50 0.5 0.25 2 9 0.369363820898276 0.130636179101724 0.0838298098427457 FALSE ""
250 0.5 0.25 2 10 0.494887689950002 0.00511231004999768 0.192895068866176 FALSE ""
250 1 1 1 11 0.98402230329406 0.0159776967059398 0.520093418874133 FALSE ""
250 0 1 5 12 0.0385162619139765 0.0385162619139765 0.0014600063986597 FALSE ""
100 0.5 0.25 4 13 0.354238079737584 0.145761920262416 0.115290710717181 FALSE ""
100 0.5 0.25 3 14 0.527803395022658 0.0278033950226582 0.238773247308653 FALSE ""
250 0.5 1 2 15 0.536854249534383 0.0368542495343831 0.223345575359053 FALSE ""
50 0.5 1 4 16 0.45248476024173 0.0475152397582695 0.174222211504776 FALSE ""
100 0 0.25 1 17 0.108736684067894 0.108736684067894 0.0100420447840036 FALSE ""
250 1 0.5 1 18 1.09611333974562 0.0961133397456224 0.594901550960971 FALSE ""
50 0.5 0.25 5 19 0.256954809002285 0.243045190997715 0.039787750838609 FALSE ""
250 0.5 0.25 1 20 0.418172852754511 0.0818271472454888 0.153846573396121 FALSE ""
250 1 0.5 4 21 1.02713363332764 0.0271336333276397 0.525892365432788 FALSE ""
100 0.5 0.5 2 22 0.64206728935848 0.14206728935848 0.342298618148378 FALSE ""
100 0 1 4 23 0.0755856249546299 0.0755856249546299 0.00490665921772229 FALSE ""
100 1 1 3 24 0.887614451539569 0.112385548460431 0.388239745571549 FALSE ""
50 1 0.5 2 25 1.08841861642173 0.0884186164217313 0.504195195099941 FALSE ""
250 0.5 0.5 5 26 0.513386107428838 0.0133861074288375 0.274257267261151 FALSE ""
50 1 0.5 4 27 0.870825509398307 0.129174490601693 0.491006807095769 FALSE ""
250 1 0.25 5 28 1.13390224123827 0.13390224123827 0.517882804896804 FALSE ""
50 0.5 0.5 2 29 0.475424036486873 0.0245759635131271 0.151204980136692 FALSE ""
250 0 0.5 4 30 -0.0319110586051998 0.0319110586051998 0.000961861580395866 FALSE ""
250 0.5 0.5 3 31 0.480008356596445 0.0199916434035545 0.185479734086945 FALSE ""
250 0 0.5 3 32 0.0872326563162093 0.0872326563162093 0.00750615508614994 FALSE ""
250 0.5 0.5 2 33 0.344947784306102 0.155052215693898 0.121707065223699 FALSE ""
50 1 1 5 34 1.16839988750367 0.168399887503669 0.60144346935952 FALSE ""
50 0 0.5 2 35 0.277621261766944 0.277621261766944 0.0518985913062121 FALSE ""
100 1 1 1 36 0.939698350302395 0.0603016496976049 0.464510955804114 FALSE ""
50 0 0.25 3 37 -0.201328331625919 0.201328331625919 0.0301203314923216 FALSE ""
50 1 0.5 5 38 1.18909157478436 0.189091574784355 0.559903015086863 FALSE ""
50 0.5 0.5 1 39 0.577293338663021 0.0772933386630209 0.242051963416844 FALSE ""
50 1 0.25 5 40 1.17765420066103 0.177654200661032 0.668691222171468 FALSE ""
100 0.5 0.25 1 41 0.588371910640733 0.0883719106407331 0.263759142287414 FALSE ""
100 1 1 5 42 1.15338825729761 0.153388257297608 0.559030987877608 FALSE ""
50 1 0.25 4 43 1.1531934668339 0.153193466833895 0.556693072135926 FALSE ""
50 0.5 0.25 3 44 0.269318695931171 0.230681304068829 0.0919378718830621 FALSE ""
100 0.5 0.5 4 45 0.534163506990922 0.0341635069909224 0.234399575738715 FALSE ""
250 0 0.5 5 46 0.0812443242966549 0.0812443242966549 0.00588643777652318 FALSE ""
100 0.5 1 4 47 0.620902131746706 0.120902131746706 0.302887051695056 FALSE ""
50 1 0.5 1 48 1.0682784616539 0.0682784616539003 0.526051768984914 FALSE ""
100 0 0.25 2 49 -0.0297861024660107 0.0297861024660107 0.001191342902625 FALSE ""
50 0.5 1 1 50 0.427314211472269 0.0726857885277307 0.120432982813795 FALSE ""
50 0 0.5 5 51 0.203750712844109 0.203750712844109 0.0317461011407659 FALSE ""
50 1 0.25 2 52 0.828109457425258 0.171890542574742 0.408747980765233 FALSE ""
100 1 0.5 2 53 0.846745847977255 0.153254152022745 0.402068931928998 FALSE ""
100 0.5 1 2 54 0.516928920452259 0.0169289204522595 0.159956806362082 FALSE ""
100 0 1 5 55 0.0756774201253975 0.0756774201253975 0.00399538015289404 FALSE ""
250 1 0.25 4 56 0.933224940336352 0.0667750596636482 0.45903774786232 FALSE ""
100 0.5 1 3 57 0.493757344303801 0.00624265569619903 0.206504913071384 FALSE ""
250 1 0.25 2 58 0.989752533332043 0.0102474666679568 0.50615906124835 FALSE ""
50 0 0.5 4 59 0.135841215689734 0.135841215689734 0.023124675256365 FALSE ""
50 1 1 2 60 1.07047503769574 0.0704750376957375 0.493490888577168 FALSE ""
100 0.5 0.25 5 61 0.500668113442387 0.00066811344238682 0.24326875811266 FALSE ""
50 0 1 2 62 -0.0358486261984091 0.0358486261984091 0.00112301573706506 FALSE ""
100 1 0.25 1 63 0.983170876557932 0.0168291234420684 0.516891855055192 FALSE ""
250 0 0.25 2 64 0.0545263497429721 0.0545263497429721 0.00294733112158085 FALSE ""
250 0 1 1 65 -0.0433757837604477 0.0433757837604477 0.00202991745507177 FALSE ""
100 0.5 0.5 1 66 0.478775867489683 0.0212241325103167 0.163142252444069 FALSE ""
100 1 0.5 3 67 1.06610013538777 0.0661001353877722 0.545537485617459 FALSE ""
50 0.5 1 2 68 0.471227262600196 0.028772737399804 0.207520847216847 FALSE ""
250 1 0.25 3 69 0.936670913574845 0.0633290864251553 0.480950305432991 FALSE ""
250 0 0.25 1 70 0.0196452966358048 0.0196452966358048 0.000336446209986812 FALSE ""
100 0.5 1 5 71 0.516976056599442 0.0169760565994416 0.174038822706689 FALSE ""
250 1 1 2 72 0.981767514354453 0.0182324856455469 0.50900335456249 FALSE ""
250 0 0.25 4 73 -0.0790632557821789 0.0790632557821789 0.00657794851730401 FALSE ""
100 1 0.5 5 74 1.12471557253864 0.124715572538641 0.61418943341808 FALSE ""
50 0 0.5 3 75 -0.0956322916794468 0.0956322916794468 0.0125194171375606 FALSE ""
50 1 1 3 76 1.19012812672145 0.190128126721453 0.701403950165299 FALSE ""
50 0 0.25 5 77 0.0892608017467209 0.0892608017467209 0.00508438030559094 FALSE ""
250 1 0.5 5 78 0.959331379819429 0.040668620180571 0.466887064812544 FALSE ""
250 0 1 4 79 0.033534247743668 0.033534247743668 0.00105858463385917 FALSE ""
250 0.5 1 1 80 0.479721321970131 0.0202786780298694 0.185823432164242 FALSE ""
50 0 0.25 4 81 0.0864820730961742 0.0864820730961742 0.0114725406344842 FALSE ""
250 1 0.5 2 82 1.02446349453729 0.0244634945372948 0.538894632448229 FALSE ""
100 0 0.5 5 83 -0.0691038806736169 0.0691038806736169 0.00570828814183554 FALSE ""
100 1 0.25 3 84 1.1792286604331 0.179228660433104 0.668791375824233 FALSE ""
100 0.5 0.25 2 85 0.660185710535411 0.160185710535411 0.244099607048769 FALSE ""
250 1 0.5 3 86 1.05145665318914 0.0514566531891405 0.506518958912645 FALSE ""
50 1 0.25 1 87 1.10247958084329 0.102479580843294 0.547104259503982 FALSE ""
50 1 0.25 3 88 0.836966476242947 0.163033523757053 0.514701754040229 FALSE ""
50 0.5 0.5 5 89 0.600943532859875 0.100943532859875 0.29642136684081 FALSE ""
100 0 0.25 4 90 -0.141804259788665 0.141804259788665 0.0190787502961889 FALSE ""
100 0 0.5 1 91 0.0376710202137405 0.0376710202137405 0.00131477580592828 FALSE ""
50 0.5 0.5 4 92 0.292555097171771 0.207444902828229 0.0763009047914814 FALSE ""
50 0 1 3 93 0.0462307974148988 0.0462307974148988 0.00163370821673835 FALSE ""
50 1 1 1 94 1.36665426310995 0.366654263109952 0.649463544901977 FALSE ""
250 0 0.25 5 95 0.0822385661878295 0.0822385661878295 0.00702706662056689 FALSE ""
100 0 0.5 2 96 -0.0622150413598866 0.0622150413598866 0.00348748035151978 FALSE ""
250 0.5 0.25 3 97 0.575184499907026 0.0751844999070257 0.254722558057448 FALSE ""
250 0 1 2 98 0.027970798802071 0.027970798802071 0.000704418597227527 FALSE ""
250 1 1 3 99 1.13264272198283 0.132642721982832 0.588274878912129 FALSE ""
100 0.5 1 1 100 0.518372873425927 0.0183728734259272 0.225158829112587 FALSE ""
250 0 0.25 3 101 -0.00938123692306715 0.00938123692306715 8.19642937487933e-05 FALSE ""
100 0 0.5 3 102 -0.0141322979362927 0.0141322979362927 0.000143050505657143 FALSE ""
100 1 0.5 4 103 1.02023683406299 0.0202368340629862 0.499115617654298 FALSE ""
250 1 0.25 1 104 0.851708658975318 0.148291341024682 0.384298221026259 FALSE ""
100 0 1 3 105 0.153850275572594 0.153850275572594 0.0312311983375524 FALSE ""
250 0 1 3 106 -0.0714427135314933 0.0714427135314933 0.00488978029507684 FALSE ""
250 0.5 1 3 107 0.41141089870268 0.0885891012973196 0.129320747370327 FALSE ""
100 0 0.5 4 108 0.0779834253087885 0.0779834253087885 0.00407841584319067 FALSE ""
50 0 1 1 109 -0.0956530934661188 0.0956530934661188 0.00864744618330975 FALSE ""
50 0.5 1 5 110 0.558276391927394 0.0582763919273943 0.331925156918573 FALSE ""
100 0 1 2 111 0.0457374541678966 0.0457374541678966 0.00193405710114542 FALSE ""
50 0 0.25 2 112 0.0235271648863223 0.0235271648863223 0.000439450516608731 FALSE ""
50 0.5 1 3 113 0.371702873840522 0.128297126159478 0.134577398063912 FALSE ""
100 1 0.25 4 114 0.951389368532591 0.0486106314674092 0.441215766113929 FALSE ""
100 0.5 0.5 3 115 0.474438948206598 0.0255610517934015 0.201684757808397 FALSE ""
50 1 0.5 3 116 1.10616586200869 0.106165862008693 0.621448369439406 FALSE ""
100 1 1 4 117 0.942837018970557 0.0571629810294431 0.376763295208381 FALSE ""
50 0.5 0.5 3 118 0.418506488271987 0.0814935117280134 0.115418528449075 FALSE ""
250 0.5 0.25 4 119 0.482406498950662 0.0175935010493382 0.189949251815933 FALSE ""
100 0.5 0.5 5 120 0.508107056715999 0.00810705671599887 0.216906857021428 FALSE ""
250 0.5 1 5 121 0.452124239688044 0.0478757603119557 0.12386142833266 FALSE ""
50 0 0.25 1 122 -0.00432269663941041 0.00432269663941041 3.05526776133553e-05 FALSE ""
50 0 0.5 1 123 0.0289260276063965 0.0289260276063965 0.00103550969965711 FALSE ""
100 0 0.25 5 124 0.113563928717709 0.113563928717709 0.009469499979983 FALSE ""
100 1 0.25 2 125 1.08548026873115 0.0854802687311482 0.595627940241382 FALSE ""
50 0 1 4 126 0.167515635771744 0.167515635771744 0.0431882941003341 FALSE ""
50 0.5 0.25 1 127 0.548341393773915 0.048341393773915 0.258949174216695 FALSE ""
50 1 1 4 128 1.05590708024688 0.0559070802468824 0.574113862904747 FALSE ""
250 1 1 4 129 1.02760601053214 0.0276060105321412 0.518417222199675 FALSE ""
250 0.5 1 4 130 0.586532922437042 0.0865329224370424 0.244431888049302 FALSE ""
100 0 1 1 131 -0.0780060021739665 0.0780060021739665 0.00631997227437341 FALSE ""
100 1 0.25 5 132 1.19046912069712 0.190469120697115 0.520096445281219 FALSE ""
250 1 1 5 133 1.00740334498038 0.00740334498037631 0.533945740096372 FALSE ""
50 0 1 5 134 0.0749885204070002 0.0749885204070002 0.00566592264658128 FALSE ""
100 1 1 2 135 0.988265500534322 0.0117344994656781 0.473094190119169 FALSE ""
