"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
50 0 1 4 1 0.157345510774044 0.157345510774044 0.0192677493284503 FALSE ""
250 0 1 4 2 0.0195564332812142 0.0195564332812142 0.000351515569855031 FALSE ""
250 1 1 2 3 1.11693298443242 0.116932984432417 0.569773124026896 FALSE ""
100 1 0.25 3 4 0.92432904487205 0.0756709551279495 0.471573800712721 FALSE ""
250 1 0.25 1 5 0.998588892756734 0.00141110724326576 0.506022549632449 FALSE ""
100 0.5 1 4 6 0.455838848518676 0.0441611514813235 0.16404414824825 FALSE ""
250 0.5 0.25 1 7 0.531182870510909 0.0311828705109087 0.238013156652302 FALSE ""
250 0 0.5 3 8 -0.0539379312377604 0.0539379312377604 0.0033746935904259 FALSE ""
50 0.5 1 1 9 0.327405113139968 0.172594886860032 0.0743644911995853 FALSE ""
50 1 0.5 4 10 1.12806812826767 0.128068128267674 0.633729204541583 FALSE ""
100 0 1 4 11 0.0542297122482949 0.0542297122482949 0.00381109874819183 FALSE ""
100 0.5 0.25 2 12 0.458160772438536 0.0418392275614637 0.179169629276988 FALSE ""
250 1 0.5 3 13 0.947623813753217 0.0523761862467834 0.457082078634244 FALSE ""
50 0.5 0.5 1 14 0.276475992318441 0.223524007681559 0.0550446487550453 FALSE ""
50 0 0.5 1 15 -0.0849894721215803 0.0849894721215803 0.00536672781826466 FALSE ""
250 1 0.25 5 16 0.939076860022218 0.0609231399777815 0.48003260086105 FALSE ""
100 1 0.5 4 17 1.18189571067819 0.181895710678194 0.567624478323566 FALSE ""
100 1 1 3 18 0.99397941835496 0.00602058164504005 0.504886791680145 FALSE ""
250 0.5 0.5 1 19 0.508560844775765 0.00856084477576502 0.226228486296144 FALSE ""
50 0.5 0.5 2 20 0.606137456936836 0.106137456936836 0.286914849356022 FALSE ""
250 1 0.5 4 21 0.949480534582232 0.0505194654177683 0.473631546588495 FALSE ""
250 1 0.25 4 22 0.952837259441829 0.0471627405581714 0.466413029889098 FALSE ""
250 0.5 0.5 2 23 0.625315971456435 0.125315971456435 0.333169419873817 FALSE ""
250 0.5 0.25 2 24 0.501881432309044 0.00188143230904447 0.170239740033599 FALSE ""
50 1 0.25 2 25 0.704896454791784 0.295103545208216 0.365133977539627 FALSE ""
100 1 0.25 4 26 0.868681580776227 0.131318419223773 0.520531373214086 FALSE ""
250 0 0.5 5 27 -0.0111258791982619 0.0111258791982619 0.000121150269931624 FALSE ""
50 0 1 5 28 0.00665658422614298 0.00665658422614298 4.08431357404268e-05 FALSE ""
50 0.5 0.25 2 29 0.444254426795451 0.0557455732045495 0.170809985367666 FALSE ""
250 1 0.5 5 30 0.980472057922953 0.0195279420770472 0.504183434125236 FALSE ""
50 0.5 0.5 5 31 0.451126771227726 0.0488732287722743 0.108617193024516 FALSE ""
250 0 1 5 32 0.0334274908231267 0.0334274908231267 0.00111204202949939 FALSE ""
100 0 0.5 4 33 0.0912109985905709 0.0912109985905709 0.0105249224132053 FALSE ""
100 0.5 1 3 34 0.390204155800602 0.109795844199398 0.104084026316991 FALSE ""
50 0 0.25 5 35 -0.0443032493224277 0.0443032493224277 0.00189791821875802 FALSE ""
100 0 0.5 2 36 0.101864460298704 0.101864460298704 0.0134602953377675 FALSE ""
100 0 1 1 37 0.0650258326020201 0.0650258326020201 0.00361347655166347 FALSE ""
100 1 0.5 3 38 1.09943507938285 0.0994350793828469 0.543242113208138 FALSE ""
100 1 0.5 2 39 1.03030589493443 0.0303058949344324 0.519840746417973 FALSE ""
50 0 0.25 3 40 -0.00410801821287411 0.00410801821287411 2.23721236643593e-05 FALSE ""
50 1 1 2 41 1.26191854701952 0.261918547019515 0.650642271248389 FALSE ""
250 0 0.25 5 42 -0.00414306889897389 0.00414306889897389 1.4256870360325e-05 FALSE ""
50 1 0.25 1 43 0.858391971526607 0.141608028473393 0.363536969018461 FALSE ""
100 0 0.25 4 44 0.0521712664871498 0.0521712664871498 0.00214188525379097 FALSE ""
250 1 1 3 45 0.899942627472527 0.100057372527473 0.413728678301356 FALSE ""
50 0.5 0.25 1 46 0.531832788296089 0.0318327882960887 0.268298910635585 FALSE ""
100 0.5 0.5 2 47 0.263434365557338 0.236565634442662 0.0740935923071114 FALSE ""
100 0 0.5 1 48 0.0858645275375262 0.0858645275375262 0.00689499317465188 FALSE ""
100 0.5 0.5 5 49 0.69298775504673 0.19298775504673 0.385363252086008 FALSE ""
250 0 1 3 50 -0.0694263496168659 0.0694263496168659 0.00460763236006646 FALSE ""
100 0 1 3 51 0.0435388983156466 0.0435388983156466 0.00216407849082337 FALSE ""
100 0 1 5 52 -0.163198896456532 0.163198896456532 0.021310849320546 FALSE ""
250 0.5 1 1 53 0.503786289624643 0.00378628962464322 0.189354452249563 FALSE ""
250 0 1 1 54 0.0736146307214695 0.0736146307214695 0.0071719940207389 FALSE ""
100 1 1 1 55 1.04693553874309 0.0469355387430879 0.601291725674248 FALSE ""
250 0.5 0.25 3 56 0.416266759341902 0.083733240658098 0.141062321782944 FALSE ""
100 0.5 0.25 3 57 0.605746559891559 0.105746559891559 0.31769481555912 FALSE ""
50 1 0.25 5 58 0.68017231242314 0.31982768757686 0.278298937849421 FALSE ""
250 1 1 1 59 0.992117700460173 0.00788229953982655 0.587830082729502 FALSE ""
250 0 0.25 4 60 0.000147952552402104 0.000147952552402104 2.67349505991585e-08 FALSE ""
50 0 0.25 2 61 -0.162906925479205 0.162906925479205 0.0373084091092163 FALSE ""
50 0 0.5 5 62 -0.122342513568893 0.122342513568893 0.0184149530382826 FALSE ""
250 0 0.5 4 63 -0.0803240857759996 0.0803240857759996 0.00558522116797286 FALSE ""
100 0.5 1 5 64 0.392351979099981 0.107648020900019 0.151317389236926 FALSE ""
100 0 1 2 65 0.0526186292031826 0.0526186292031826 0.00273501809536139 FALSE ""
100 1 0.25 2 66 0.954619579922891 0.0453804200771085 0.453079688079103 FALSE ""
50 1 0.25 3 67 1.03347270427128 0.033472704271281 0.444706841247685 FALSE ""
50 0 0.25 1 68 -0.12769024128695 0.12769024128695 0.0234607944364845 FALSE ""
50 0.5 1 5 69 0.496054168917848 0.00394583108215196 0.127360148535177 FALSE ""
50 1 0.25 4 70 1.09576240494267 0.095762404942666 0.594987126695036 FALSE ""
100 0.5 0.25 4 71 0.392372351610066 0.107627648389934 0.112292868035729 FALSE ""
100 1 1 2 72 1.07550704953026 0.0755070495302572 0.51556913683693 FALSE ""
250 0 0.25 2 73 0.0508071165300304 0.0508071165300304 0.00274923803843946 FALSE ""
50 0.5 0.5 4 74 0.224510065625386 0.275489934374614 0.0430646078541243 FALSE ""
250 0.5 0.5 3 75 0.479780831180324 0.0202191688196756 0.141944449056607 FALSE ""
250 1 0.25 2 76 1.05877149893813 0.0587714989381309 0.477520653690117 FALSE ""
50 0.5 0.25 5 77 0.358019335184707 0.141980664815293 0.12099230674757 FALSE ""
100 0 0.25 5 78 0.081744703796188 0.081744703796188 0.00608304936587135 FALSE ""
50 1 0.5 2 79 1.18422098536177 0.184220985361772 0.577972620163178 FALSE ""
100 1 0.25 5 80 0.930600069125716 0.0693999308742841 0.536440045709462 FALSE ""
250 0 1 2 81 0.0883159972384916 0.0883159972384916 0.00767943692382556 FALSE ""
100 0 0.25 1 82 -0.314889519108881 0.314889519108881 0.0795641287619866 FALSE ""
250 0 0.25 3 83 -0.0398585412994525 0.0398585412994525 0.00135712845217816 FALSE ""
100 0.5 0.25 5 84 0.395406622409597 0.104593377590403 0.144577105520817 FALSE ""
50 0.5 0.25 3 85 0.500775129395442 0.000775129395441665 0.182049140753764 FALSE ""
250 1 0.5 1 86 1.00264016762195 0.00264016762194741 0.478039281734215 FALSE ""
50 1 0.5 5 87 1.25931464160155 0.259314641601548 0.610960170945844 FALSE ""
250 0.5 0.5 4 88 0.472724320573074 0.0272756794269257 0.223448452950401 FALSE ""
250 0 0.5 1 89 -0.0907791649587328 0.0907791649587328 0.0072547938420093 FALSE ""
100 0 0.25 2 90 -0.252674599279175 0.252674599279175 0.0696219208936678 FALSE ""
50 0 0.5 3 91 -0.0834969188403827 0.0834969188403827 0.00439683966505669 FALSE ""
250 0 0.5 2 92 0.0208127349789266 0.0208127349789266 0.000406182424162328 FALSE ""
