"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 0.5 0.5 5 1 0.516832440348933 0.0168324403489333 0.22815148941522 FALSE ""
50 1 1 4 2 1.08910465793539 0.0891046579353905 0.492647014602946 FALSE ""
250 1 0.25 5 3 1.06311942591063 0.0631194259106258 0.5436160210989 FALSE ""
100 0.5 0.25 4 4 0.487599050445071 0.0124009495549294 0.209274311757896 FALSE ""
100 0 0.5 4 5 0.0635466229364592 0.0635466229364592 0.00391011683030539 FALSE ""
100 0 0.25 3 6 0.160798719121886 0.160798719121886 0.0251079358778138 FALSE ""
250 0 1 3 7 -0.0819610365239594 0.0819610365239594 0.00637060593036667 FALSE ""
250 1 0.5 1 8 1.05951286914211 0.0595128691421094 0.564108170413091 FALSE ""
100 0.5 0.25 5 9 0.503979569524949 0.0039795695249486 0.228387910140857 FALSE ""
50 0 1 3 10 -0.14673919913857 0.14673919913857 0.0211080718719517 FALSE ""
250 1 0.5 2 11 1.06038125156454 0.0603812515645412 0.499768085223827 FALSE ""
100 0 0.25 1 12 2.13052745721878e-05 2.13052745721878e-05 4.16590656187485e-10 FALSE ""
50 0 1 1 13 0.0184270860575401 0.0184270860575401 0.000234257457707898 FALSE ""
100 1 0.25 3 14 0.877701927794065 0.122298072205935 0.371357937510132 FALSE ""
100 0.5 0.5 1 15 0.576523014392489 0.0765230143924892 0.289730785720849 FALSE ""
50 0.5 0.5 1 16 0.583315779553056 0.0833157795530565 0.190347586455993 FALSE ""
50 1 0.5 3 17 1.06749373015887 0.0674937301588741 0.517377415858823 FALSE ""
100 1 1 3 18 0.931033031903748 0.0689669680962518 0.521744780264299 FALSE ""
250 0.5 0.5 2 19 0.54639865254926 0.0463986525492598 0.23121365665967 FALSE ""
250 1 0.5 4 20 1.01563619581101 0.0156361958110138 0.474914361627605 FALSE ""
250 0.5 1 4 21 0.551961299157389 0.0519612991573895 0.249198078907301 FALSE ""
250 0.5 0.25 1 22 0.46460512635309 0.0353948736469101 0.168617750829806 FALSE ""
50 0.5 1 2 23 0.566105903006433 0.066105903006433 0.254615510718007 FALSE ""
100 0 0.25 2 24 -0.138499740003897 0.138499740003897 0.0178864548603204 FALSE ""
50 0 1 2 25 -0.0302958862294762 0.0302958862294762 0.0012886868988483 FALSE ""
50 0.5 1 5 26 0.405549793419161 0.0944502065808391 0.166046500767469 FALSE ""
50 0.5 0.25 3 27 0.231381401902211 0.268618598097789 0.0716950691638586 FALSE ""
250 0.5 0.25 2 28 0.543099568109882 0.043099568109882 0.233952570530147 FALSE ""
100 0 1 5 29 -0.22158410256928 0.22158410256928 0.0436693713869684 FALSE ""
50 0 0.25 3 30 0.0967594475342848 0.0967594475342848 0.012300264157329 FALSE ""
250 0 1 1 31 -0.0162140814230059 0.0162140814230059 0.000232798605884487 FALSE ""
100 0.5 0.5 5 32 0.430980160176039 0.0690198398239613 0.172177617447784 FALSE ""
250 1 1 4 33 0.927379539725778 0.0726204602742224 0.438964322463539 FALSE ""
50 0 0.5 5 34 0.155118398874304 0.155118398874304 0.0237147138016602 FALSE ""
50 0 0.25 5 35 0.0757186317314868 0.0757186317314868 0.00765328228583551 FALSE ""
50 0.5 0.25 5 36 0.122007490135083 0.377992509864917 0.0102813368194431 FALSE ""
250 1 1 2 37 1.0958395480803 0.0958395480803049 0.517767767074354 FALSE ""
50 0.5 0.5 5 38 0.353765838001179 0.146234161998821 0.181626636009213 FALSE ""
250 1 1 3 39 0.986578844478817 0.0134211555211834 0.48207186795814 FALSE ""
