"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 1 0.25 3 1 0.944807315817093 0.0551926841829071 0.482597574509859 FALSE ""
250 0.5 1 2 2 0.473085426348891 0.0269145736511086 0.161428638703321 FALSE ""
50 1 0.5 4 3 1.03278037678848 0.0327803767884773 0.408131990375052 FALSE ""
50 0.5 1 5 4 0.481645799367991 0.0183542006320088 0.159384501861094 FALSE ""
100 0 0.5 5 5 -0.046554689366406 0.046554689366406 0.00243915470220271 FALSE ""
100 0.5 0.5 5 6 0.434345672824872 0.0656543271751275 0.149044993830282 FALSE ""
50 0.5 1 1 7 0.478178346852286 0.0218216531477142 0.220220599540405 FALSE ""
250 0 1 2 8 0.025373157877818 0.025373157877818 0.000610370957138402 FALSE ""
50 0 1 2 9 -0.0260278802889426 0.0260278802889426 0.000646523310190621 FALSE ""
250 0.5 0.25 5 10 0.601708452114641 0.101708452114641 0.303019098857627 FALSE ""
50 1 0.5 3 11 1.00689731142367 0.00689731142366812 0.516166526673713 FALSE ""
50 1 0.25 2 12 0.998633901325207 0.00136609867479309 0.527409167422984 FALSE ""
50 0 0.25 5 13 -0.0176752896442266 0.0176752896442266 0.000235149492481062 FALSE ""
50 1 0.5 2 14 0.985574562820755 0.014425437179245 0.521106630010163 FALSE ""
50 0 0.25 4 15 -0.12917446853503 0.12917446853503 0.0163014022514302 FALSE ""
100 1 0.25 2 16 0.915369474059377 0.084630525940623 0.546835549701537 FALSE ""
250 1 0.5 3 17 1.01101951623339 0.0110195162333859 0.520214288740663 FALSE ""
100 1 1 5 18 0.953637216115599 0.0463627838844006 0.535165380155899 FALSE ""
250 1 0.25 5 19 0.97449358646708 0.02550641353292 0.506186959120694 FALSE ""
100 0.5 0.5 2 20 0.433143503423069 0.0668564965769306 0.14399876620104 FALSE ""
50 0 0.5 2 21 -0.0930087606032759 0.0930087606032759 0.0164591630574812 FALSE ""
50 1 0.25 5 22 1.17222711974518 0.172227119745185 0.557467544267964 FALSE ""
100 0.5 0.25 5 23 0.545304061244428 0.0453040612444283 0.224033358553492 FALSE ""
100 1 0.25 3 24 0.869982415866652 0.130017584133348 0.435594642658595 FALSE ""
250 1 1 1 25 1.07657847866329 0.0765784786632921 0.493077802969334 FALSE ""
250 0 0.5 1 26 0.040954772922562 0.040954772922562 0.00151210298247084 FALSE ""
50 1 1 2 27 0.907275333702237 0.0927246662977631 0.519766046882315 FALSE ""
250 0 0.5 3 28 -0.0308180561652083 0.0308180561652083 0.000899357318516319 FALSE ""
250 0 0.5 5 29 0.0570105605181082 0.0570105605181082 0.00267901976588034 FALSE ""
250 1 0.25 2 30 0.940798712309424 0.0592012876905762 0.49885139584171 FALSE ""
50 0 1 3 31 0.047061281616105 0.047061281616105 0.00273452990787073 FALSE ""
50 0 1 1 32 -0.0192117695206732 0.0192117695206732 0.000268786366591284 FALSE ""
250 0.5 0.25 1 33 0.615081603790808 0.115081603790808 0.288718817601797 FALSE ""
250 0.5 0.5 1 34 0.518095244304063 0.0180952443040631 0.172361233587856 FALSE ""
50 0 0.5 5 35 -0.186118504997422 0.186118504997422 0.023814940287019 FALSE ""
100 0 1 2 36 -0.0128957233869859 0.0128957233869859 0.000119664152346353 FALSE ""
250 1 0.5 5 37 0.945396861934281 0.054603138065719 0.507006234399805 FALSE ""
100 0.5 0.5 4 38 0.471912357127206 0.028087642872794 0.234661794295838 FALSE ""
100 0 1 4 39 -0.133159015335451 0.133159015335451 0.0136598394149447 FALSE ""
50 0 0.5 4 40 -0.00830522587006414 0.00830522587006414 5.92976214162752e-05 FALSE ""
50 0.5 1 2 41 0.377688124163017 0.122311875836983 0.156045366055537 FALSE ""
50 1 1 1 42 0.84724372812346 0.15275627187654 0.440761205207474 FALSE ""
50 1 0.5 5 43 1.11429219340929 0.114292193409288 0.435406312531815 FALSE ""
50 0 0.25 1 44 0.346666944040889 0.346666944040889 0.0566238833232477 FALSE ""
250 0 1 4 45 -0.076330891975248 0.076330891975248 0.00641762961237484 FALSE ""
50 0.5 0.5 4 46 0.465269199772761 0.0347308002272389 0.211108211775225 FALSE ""
100 0.5 0.25 2 47 0.47479823759559 0.0252017624044095 0.173289569329772 FALSE ""
250 1 1 4 48 0.965409162844031 0.0345908371559691 0.465976331190381 FALSE ""
100 1 0.25 1 49 0.859169425678105 0.140830574321895 0.43432846763079 FALSE ""
50 1 0.25 1 50 0.70713309361186 0.29286690638814 0.302019654512484 FALSE ""
250 0.5 0.25 3 51 0.528542883820582 0.0285428838205823 0.213139971903599 FALSE ""
250 0.5 1 3 52 0.486065879219635 0.0139341207803654 0.211527148918235 FALSE ""
100 0 1 3 53 0.127635713873959 0.127635713873959 0.014867825704672 FALSE ""
250 0 0.5 2 54 -0.165790309553116 0.165790309553116 0.0260064159679128 FALSE ""
100 1 1 2 55 0.907160019952387 0.0928399800476131 0.39939886991059 FALSE ""
100 0.5 0.25 4 56 0.473139169156688 0.0268608308433121 0.148287636319491 FALSE ""
250 0.5 0.5 4 57 0.393697419356556 0.106302580643444 0.128111739107223 FALSE ""
50 0 0.25 3 58 -0.112155071918129 0.112155071918129 0.0164667212492172 FALSE ""
50 1 1 3 59 0.904400943033196 0.0955990569668042 0.520389644851654 FALSE ""
250 1 1 3 60 0.983233291362633 0.0167667086373673 0.573355176226894 FALSE ""
100 0 0.25 5 61 0.0613658991176656 0.0613658991176656 0.00384031824085373 FALSE ""
100 0 0.5 3 62 0.077520388286885 0.077520388286885 0.00776424356062662 FALSE ""
50 0.5 0.25 5 63 0.417081733770381 0.0829182662296191 0.18197900301409 FALSE ""
100 1 0.25 4 64 0.875798325250976 0.124201674749024 0.482861926479614 FALSE ""
250 0 1 3 65 -0.00306440025773745 0.00306440025773745 8.62295590920673e-06 FALSE ""
50 0 0.5 1 66 0.554045686011904 0.554045686011904 0.184452322322407 FALSE ""
100 0 0.25 1 67 -0.0306148510073436 0.0306148510073436 0.00147438228689666 FALSE ""
100 0 0.25 2 68 -0.0340170100121389 0.0340170100121389 0.000884713039669107 FALSE ""
50 0 0.5 3 69 0.0586419876695028 0.0586419876695028 0.00536733080019495 FALSE ""
250 1 0.5 4 70 1.08335935788969 0.0833593578896945 0.553098789854553 FALSE ""
250 0.5 0.25 4 71 0.568596180742015 0.0685961807420148 0.260690624003384 FALSE ""
250 0 1 5 72 0.0638643112499925 0.0638643112499925 0.00340453806692766 FALSE ""
100 1 1 1 73 0.984039100119755 0.0159608998802448 0.486059394913677 FALSE ""
250 0.5 1 4 74 0.50872026449834 0.00872026449833962 0.209187780281303 FALSE ""
100 1 0.5 2 75 0.946574421679158 0.0534255783208417 0.485716760745456 FALSE ""
50 1 1 5 76 0.94821912639895 0.0517808736010503 0.501623334699016 FALSE ""
100 0 0.25 3 77 0.00232233616042598 0.00232233616042598 5.58929881315837e-06 FALSE ""
100 1 0.5 4 78 0.990971559640258 0.0090284403597416 0.4682720195305 FALSE ""
250 0 0.25 3 79 0.00747789082814635 0.00747789082814635 5.30489705179744e-05 FALSE ""
50 0.5 0.5 3 80 0.419377693125376 0.0806223068746236 0.178185590204604 FALSE ""
100 0 0.25 4 81 0.0715803369325766 0.0715803369325766 0.00540824804468315 FALSE ""
250 0 0.5 4 82 0.0229768899941431 0.0229768899941431 0.000502503831599183 FALSE ""
50 0.5 0.5 2 83 0.546359067631348 0.0463590676313477 0.221869731214226 FALSE ""
50 1 0.5 1 84 0.958577466558914 0.0414225334410863 0.532218796182611 FALSE ""
100 0 0.5 4 85 -0.0660186458367399 0.0660186458367399 0.00296485363094353 FALSE ""
50 1 0.25 4 86 1.11071005381839 0.110710053818388 0.619964841989737 FALSE ""
100 0 1 1 87 0.094756388394144 0.094756388394144 0.00795830406864756 FALSE ""
250 0.5 1 5 88 0.578658234065121 0.0786582340651212 0.26770056357984 FALSE ""
100 0 0.5 1 89 -0.204300547018366 0.204300547018366 0.035160680934614 FALSE ""
100 0 1 5 90 0.0750230067528705 0.0750230067528705 0.00642083152628195 FALSE ""
250 1 0.5 2 91 0.925711317573319 0.0742886824266812 0.465203868686666 FALSE ""
250 0 0.25 1 92 0.000342665825729518 0.000342665825729518 9.54101449511505e-08 FALSE ""
50 1 1 4 93 1.21513793346305 0.215137933463053 0.79505832785723 FALSE ""
100 0.5 1 3 94 0.615513431806342 0.115513431806342 0.302950145794548 FALSE ""
100 0.5 0.5 1 95 0.420928316364902 0.0790716836350979 0.174966348202469 FALSE ""
250 1 0.25 1 96 0.951466552146614 0.0485334478533855 0.449150411606719 FALSE ""
100 1 1 3 97 1.01402353390371 0.0140235339037103 0.435670454781465 FALSE ""
100 0.5 1 5 98 0.495202826564561 0.00479717343543901 0.198872063242876 FALSE ""
100 1 0.5 1 99 0.944615930685515 0.0553840693144851 0.451003578798244 FALSE ""
100 1 0.5 5 100 0.979947362169464 0.0200526378305356 0.464068619349915 FALSE ""
50 1 0.25 3 101 1.14673969276217 0.146739692762167 0.579346952393927 FALSE ""
100 0.5 1 1 102 0.51229559955138 0.0122955995513798 0.187085065448194 FALSE ""
100 0.5 0.25 3 103 0.383350515264062 0.116649484735938 0.119266709714917 FALSE ""
100 0.5 0.25 1 104 0.655231911282637 0.155231911282637 0.287208543858396 FALSE ""
250 0.5 1 1 105 0.639095144866307 0.139095144866307 0.304593655496151 FALSE ""
50 0.5 1 4 106 0.658601095683918 0.158601095683918 0.307240552778993 FALSE ""
250 1 1 2 107 0.988126867543801 0.011873132456199 0.487159809895792 FALSE ""
50 0.5 0.25 3 108 0.702940099209726 0.202940099209726 0.327886954099251 FALSE ""
250 1 0.5 1 109 1.03939284172277 0.0393928417227725 0.506888507601197 FALSE ""
250 0 0.25 4 110 0.114934119586343 0.114934119586343 0.011747426625478 FALSE ""
50 0.5 1 3 111 0.557478388370009 0.0574783883700088 0.19263425219697 FALSE ""
100 0.5 1 2 112 0.525146964813128 0.0251469648131282 0.238902876578042 FALSE ""
250 0 1 1 113 -0.104105153345128 0.104105153345128 0.0116214696190269 FALSE ""
50 0 1 4 114 -0.19559212578107 0.19559212578107 0.0281687642493629 FALSE ""
100 0.5 0.5 3 115 0.451816811068668 0.0481831889313318 0.148533616628989 FALSE ""
50 0.5 0.25 4 116 0.20204299482287 0.29795700517713 0.0364719761199028 FALSE ""
100 1 0.5 3 117 0.788607325681515 0.211392674318485 0.335237966363059 FALSE ""
50 0 1 5 118 0.238428977580503 0.238428977580503 0.058131241659702 FALSE ""
250 1 0.25 4 119 1.076292145822 0.0762921458219965 0.535812015020532 FALSE ""
50 0.5 0.5 1 120 0.30455479938454 0.19544520061546 0.064709845015226 FALSE ""
100 1 1 4 121 1.05132477752456 0.0513247775245615 0.472513713741878 FALSE ""
100 0 0.5 2 122 0.0267789671007993 0.0267789671007993 0.000904264548673202 FALSE ""
100 0.5 1 4 123 0.532220447142933 0.0322204471429327 0.185250828724574 FALSE ""
250 0.5 0.25 2 124 0.509727292150625 0.00972729215062496 0.221982277045997 FALSE ""
250 1 1 5 125 0.966839741549714 0.0331602584502863 0.45847831142026 FALSE ""
50 0.5 0.25 2 126 0.441419910371256 0.0585800896287444 0.121847030608289 FALSE ""
250 0.5 0.5 2 127 0.552941621944549 0.0529416219445493 0.20619448101447 FALSE ""
50 0.5 0.5 5 128 0.702530210061827 0.202530210061827 0.296493436089611 FALSE ""
250 0 0.25 5 129 0.00622293702849913 0.00622293702849913 3.68976107776525e-05 FALSE ""
250 0 0.25 2 130 0.00294504240434933 0.00294504240434933 9.10611639068485e-06 FALSE ""
50 0 0.25 2 131 0.271974922058964 0.271974922058964 0.0427767650724026 FALSE ""
250 0.5 0.5 3 132 0.458789212657534 0.041210787342466 0.196760975493375 FALSE ""
100 1 0.25 5 133 1.00580801501414 0.00580801501414019 0.460178400110031 FALSE ""
50 0.5 0.25 1 134 0.25821413202198 0.24178586797802 0.0452286443705293 FALSE ""
250 0.5 0.5 5 135 0.46581226796545 0.0341877320345497 0.184067119228228 FALSE ""
