"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 1 0.5 3 1 0.992271112852327 0.00772888714767284 0.483532930197322 FALSE ""
250 0 0.5 1 2 -0.0183233739592235 0.0183233739592235 0.000310255041790531 FALSE ""
50 0 0.5 5 3 -0.139734570509228 0.139734570509228 0.0225077669818678 FALSE ""
50 1 0.25 2 4 1.12417913492458 0.124179134924575 0.555785981375339 FALSE ""
250 1 1 1 5 1.15723032101036 0.157230321010364 0.612209455132483 FALSE ""
50 0.5 0.25 1 6 0.573317189476831 0.073317189476831 0.293583163116493 FALSE ""
250 1 0.5 4 7 1.03788647750782 0.0378864775078205 0.481621420212993 FALSE ""
50 1 0.5 1 8 0.876617322240679 0.123382677759321 0.37001036198204 FALSE ""
100 0.5 1 5 9 0.505019814221091 0.0050198142210911 0.146076216899848 FALSE ""
50 1 0.5 2 10 0.855966989151863 0.144033010848137 0.393885100759498 FALSE ""
100 1 0.25 5 11 1.25690727568004 0.25690727568004 0.636019303246312 FALSE ""
100 1 0.5 2 12 1.01586971208504 0.0158697120850431 0.587323997085719 FALSE ""
100 1 0.25 1 13 1.01878996851524 0.0187899685152406 0.385457458263552 FALSE ""
50 1 1 3 14 1.04092772811639 0.0409277281163853 0.472715897586038 FALSE ""
250 1 1 4 15 1.02890114992689 0.028901149926889 0.533104926954496 FALSE ""
250 0 0.25 4 16 0.00972551865989745 0.00972551865989745 8.53810981083226e-05 FALSE ""
50 1 1 1 17 0.88384273973875 0.11615726026125 0.393246936038872 FALSE ""
50 1 0.25 1 18 0.895539306960656 0.104460693039344 0.458602296176509 FALSE ""
50 0 0.5 2 19 0.174131684497454 0.174131684497454 0.0301218697092036 FALSE ""
250 0 0.5 2 20 0.0369357182214834 0.0369357182214834 0.00112425457205844 FALSE ""
50 0.5 0.5 1 21 0.563231894199021 0.0632318941990209 0.189198362580788 FALSE ""
50 0 0.5 1 22 -0.176234981309425 0.176234981309425 0.0332612791435052 FALSE ""
250 0 1 5 23 0.110096911491811 0.110096911491811 0.0134015922249474 FALSE ""
250 0.5 1 4 24 0.490467014060123 0.00953298593987656 0.203251743404126 FALSE ""
100 1 1 3 25 0.906230193367941 0.0937698066320587 0.476026823052843 FALSE ""
50 1 0.5 3 26 0.9613873086201 0.0386126913799004 0.560714756608626 FALSE ""
250 1 1 3 27 0.97560474211733 0.0243952578826698 0.465932314692075 FALSE ""
250 1 0.5 5 28 1.0724552626002 0.0724552626002049 0.472233552549267 FALSE ""
50 0 1 5 29 0.0847821511831445 0.0847821511831445 0.00505863378330371 FALSE ""
100 0.5 0.25 4 30 0.482847593512284 0.017152406487716 0.236092380057479 FALSE ""
100 0.5 0.25 3 31 0.505542351256356 0.00554235125635583 0.226399832647949 FALSE ""
250 0 0.25 1 32 0.0125629368060123 0.0125629368060123 0.000153736164940341 FALSE ""
100 0 0.25 5 33 -0.168991466862725 0.168991466862725 0.0309061838490437 FALSE ""
100 1 0.25 2 34 0.985645318566687 0.0143546814333131 0.493786292294327 FALSE ""
250 0.5 0.25 1 35 0.544695202095742 0.044695202095742 0.211780986505709 FALSE ""
250 0.5 0.25 4 36 0.56890870589299 0.0689087058929904 0.223505277143009 FALSE ""
50 0 0.25 3 37 -0.362089618774866 0.362089618774866 0.115114888061292 FALSE ""
250 1 1 5 38 1.08527875955874 0.0852787595587352 0.560959675634672 FALSE ""
100 0.5 0.25 1 39 0.455370135396407 0.0446298646035928 0.163596524280604 FALSE ""
50 0.5 1 3 40 0.557257612298223 0.0572576122982228 0.232971775765816 FALSE ""
100 0.5 1 2 41 0.272094660302825 0.227905339697175 0.0692875245725876 FALSE ""
100 0 0.25 3 42 -0.037236200732508 0.037236200732508 0.000880613467974735 FALSE ""
250 1 0.25 4 43 1.08582043201184 0.0858204320118416 0.504592011746678 FALSE ""
100 0.5 1 4 44 0.351746689179437 0.148253310820563 0.130779788569123 FALSE ""
100 1 1 5 45 0.853071933416307 0.146928066583693 0.374154266061183 FALSE ""
50 1 0.25 5 46 0.939738161682274 0.0602618383177261 0.552137747189351 FALSE ""
250 0.5 1 2 47 0.474408960834936 0.0255910391650638 0.18701993361154 FALSE ""
100 1 0.25 3 48 0.98642602125201 0.0135739787479897 0.404944739729678 FALSE ""
50 1 1 2 49 0.891587930933354 0.108412069066646 0.464666886799262 FALSE ""
100 1 0.5 4 50 1.06389598011628 0.0638959801162848 0.525606177893844 FALSE ""
50 0 1 3 51 0.274686439181905 0.274686439181905 0.0470922757018802 FALSE ""
50 1 0.5 5 52 0.800617524556329 0.199382475443671 0.358467914409501 FALSE ""
100 0.5 0.25 5 53 0.605195605155506 0.105195605155506 0.229968368558557 FALSE ""
250 0.5 0.25 3 54 0.483075645492617 0.0169243545073828 0.176798772546657 FALSE ""
250 0 0.5 4 55 -0.077244792216268 0.077244792216268 0.00691942476787371 FALSE ""
50 1 1 4 56 1.07327914331773 0.0732791433177287 0.538304117423001 FALSE ""
250 0 1 1 57 0.0183376884931214 0.0183376884931214 0.000403992141827743 FALSE ""
100 0 0.5 5 58 -0.0694478292111371 0.0694478292111371 0.00568401346618829 FALSE ""
100 0 0.25 1 59 -0.0413445957013333 0.0413445957013333 0.00145429677752041 FALSE ""
100 0.5 0.5 2 60 0.276539872445116 0.223460127554884 0.0750629358699688 FALSE ""
50 0.5 0.25 5 61 0.548163235193184 0.0481632351931839 0.218448370142376 FALSE ""
100 1 1 1 62 1.04519522047994 0.045195220479942 0.498542166748341 FALSE ""
100 0 0.25 4 63 -0.0490082983457533 0.0490082983457533 0.00256947262429235 FALSE ""
250 0 0.25 2 64 -0.0017719229968766 0.0017719229968766 2.96847078842808e-06 FALSE ""
100 0.5 0.5 1 65 0.659932943181758 0.159932943181758 0.274811539826995 FALSE ""
250 0.5 0.5 2 66 0.37371940779557 0.12628059220443 0.0970402047945358 FALSE ""
50 0.5 0.5 3 67 0.583936811187665 0.0839368111876649 0.333522717660401 FALSE ""
100 0 1 4 68 0.0424502165508976 0.0424502165508976 0.0017754136465898 FALSE ""
50 0.5 0.5 5 69 0.509633248660346 0.00963324866034609 0.240600513144936 FALSE ""
50 0 1 2 70 -0.0600379132305935 0.0600379132305935 0.00366491477811438 FALSE ""
50 0.5 0.25 2 71 0.411301908025688 0.0886980919743119 0.168028721126903 FALSE ""
100 0 1 5 72 -0.00568245590837505 0.00568245590837505 2.43124607963052e-05 FALSE ""
50 1 1 5 73 0.888439872984505 0.111560127015495 0.54904717441712 FALSE ""
250 0 0.5 5 74 0.03459425285706 0.03459425285706 0.00106660672900688 FALSE ""
50 0 0.25 5 75 -0.222136616968303 0.222136616968303 0.0308410990122958 FALSE ""
100 0.5 0.5 5 76 0.439372982328484 0.0606270176715163 0.183040603132975 FALSE ""
