"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 0 0.5 5 1 -0.124681208277474 0.124681208277474 0.020543537990814 FALSE ""
50 0 0.25 3 2 0.185603462239209 0.185603462239209 0.0295737765755833 FALSE ""
250 1 0.5 1 3 0.932451196663961 0.0675488033360392 0.512723185057234 FALSE ""
50 0.5 0.25 1 4 0.40292140028955 0.0970785997104497 0.218445455080338 FALSE ""
250 1 0.25 4 5 1.10834658541415 0.108346585414147 0.57266703898718 FALSE ""
100 0 1 1 6 0.000318422592105686 0.000318422592105686 9.08888634124563e-08 FALSE ""
100 1 0.25 1 7 1.03130478966477 0.03130478966477 0.52092383326331 FALSE ""
50 0 0.5 4 8 0.306625611570909 0.306625611570909 0.0895798844168643 FALSE ""
250 0 0.5 5 9 0.0680104415478484 0.0680104415478484 0.00512336939067236 FALSE ""
50 0 0.25 4 10 -0.310834142749698 0.310834142749698 0.105826379661909 FALSE ""
100 0.5 1 1 11 0.52925038895983 0.0292503889598298 0.193618336422146 FALSE ""
250 0.5 0.5 4 12 0.476775973113428 0.0232240268865723 0.178257237870331 FALSE ""
100 0.5 1 2 13 0.670127760535511 0.170127760535511 0.293051447714329 FALSE ""
250 0.5 0.25 3 14 0.51118061059736 0.0111806105973601 0.203039889591459 FALSE ""
50 0.5 0.5 1 15 0.806942147581336 0.306942147581336 0.235523967199814 FALSE ""
50 0 0.25 1 16 -0.173308752976393 0.173308752976393 0.0319797838115399 FALSE ""
100 0 0.5 4 17 0.0769117502591615 0.0769117502591615 0.00699122687655157 FALSE ""
50 1 0.25 3 18 0.916929233038429 0.0830707669615707 0.469784401852178 FALSE ""
50 0.5 1 1 19 0.65957042679634 0.15957042679634 0.274709448201491 FALSE ""
50 0 0.5 3 20 -0.33645135098649 0.33645135098649 0.115509416021581 FALSE ""
100 0 0.25 2 21 0.0743667524870893 0.0743667524870893 0.00677358559342226 FALSE ""
50 1 0.5 5 22 0.989684721219246 0.0103152787807539 0.495776425882635 FALSE ""
100 0.5 1 5 23 0.632386363943162 0.132386363943162 0.231554431343298 FALSE ""
100 1 1 4 24 1.03010110323279 0.0301011032327931 0.586863533071833 FALSE ""
100 1 1 2 25 1.00763639485205 0.0076363948520537 0.569733989887065 FALSE ""
100 0.5 0.5 2 26 0.582790411231201 0.0827904112312013 0.286857989924723 FALSE ""
100 0.5 0.25 3 27 0.513852834353923 0.0138528343539229 0.215685871480302 FALSE ""
250 1 0.5 2 28 1.07853115834242 0.0785311583424215 0.520150467135164 FALSE ""
50 0.5 0.25 5 29 0.584071704639637 0.0840717046396371 0.35695497098127 FALSE ""
100 1 0.25 3 30 0.972295703925227 0.0277042960747726 0.505847351162746 FALSE ""
50 1 1 1 31 1.07775678557531 0.0777567855753138 0.578479574676868 FALSE ""
100 0.5 0.25 2 32 0.472377346280007 0.0276226537199925 0.175600296737059 FALSE ""
100 0 0.5 1 33 0.240590306999152 0.240590306999152 0.0437531269575325 FALSE ""
100 1 0.5 4 34 0.980890791251164 0.0191092087488358 0.586355799554284 FALSE ""
250 1 1 2 35 1.06428317056371 0.0642831705637055 0.515823447204638 FALSE ""
100 0 0.25 3 36 0.103538137918003 0.103538137918003 0.0117732248961686 FALSE ""
100 0 0.5 2 37 0.173368358285438 0.173368358285438 0.034461944275205 FALSE ""
