"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
50 0.5 1 1 1 0.525359560892468 0.0253595608924677 0.214835355961894 FALSE ""
100 1 0.5 5 2 1.08666125457246 0.0866612545724559 0.551651965443284 FALSE ""
250 1 0.25 5 3 0.937584351607147 0.0624156483928533 0.445572630204834 FALSE ""
50 0 0.25 5 4 -0.0230108009804695 0.0230108009804695 0.000486398638514096 FALSE ""
50 0.5 0.25 2 5 0.499134865771176 0.000865134228823949 0.190573316420026 FALSE ""
50 0 1 4 6 0.0626844491793132 0.0626844491793132 0.0026623033163369 FALSE ""
250 0.5 0.25 1 7 0.611844520595657 0.111844520595657 0.310968202102684 FALSE ""
50 0.5 1 4 8 0.491219274835849 0.00878072516415118 0.18668366412064 FALSE ""
250 1 0.5 2 9 1.01969433856622 0.0196943385662198 0.510034085542677 FALSE ""
250 0.5 1 2 10 0.504503828871732 0.00450382887173206 0.217352138514727 FALSE ""
250 0 0.25 2 11 -0.00958623559610624 0.00958623559610624 7.32127970227263e-05 FALSE ""
50 1 0.25 1 12 0.9829520267451 0.0170479732548999 0.48860887354933 FALSE ""
50 0.5 0.5 4 13 0.408504607402721 0.0914953925972793 0.129846875897284 FALSE ""
50 1 1 4 14 1.04992498857928 0.0499249885792752 0.583089767438656 FALSE ""
50 0 0.25 1 15 0.0682917005559005 0.0682917005559005 0.00324354733518749 FALSE ""
100 0 1 2 16 -0.0533225921367245 0.0533225921367245 0.00243076659993901 FALSE ""
250 0 0.5 2 17 0.0569458509667217 0.0569458509667217 0.00309694710633702 FALSE ""
100 0.5 0.5 3 18 0.258616159784131 0.241383840215869 0.0586153506345585 FALSE ""
50 1 0.5 1 19 1.18164119524496 0.181641195244961 0.579787603941816 FALSE ""
100 0.5 0.25 4 20 0.459613374386693 0.0403866256133067 0.204315019659668 FALSE ""
50 0.5 1 3 21 0.508580021615112 0.00858002161511162 0.343765846102598 FALSE ""
100 0.5 0.25 3 22 0.379807974753647 0.120192025246353 0.139389653012288 FALSE ""
100 0 0.5 2 23 -0.0794699904035276 0.0794699904035276 0.00539606176825687 FALSE ""
100 1 0.5 4 24 1.02714332940565 0.02714332940565 0.503579663182702 FALSE ""
250 0 1 5 25 -0.127248245083169 0.127248245083169 0.0177219930458829 FALSE ""
50 0.5 0.5 2 26 0.131889262869509 0.368110737130491 0.0142536573953692 FALSE ""
50 0.5 0.5 5 27 0.57188680382464 0.07188680382464 0.252483023372775 FALSE ""
250 0.5 0.5 4 28 0.460418175598697 0.0395818244013033 0.14462115689485 FALSE ""
50 0 1 5 29 0.207551298458202 0.207551298458202 0.0337953590056128 FALSE ""
250 0 0.5 1 30 -0.0778144819403347 0.0778144819403347 0.0061239668241997 FALSE ""
250 0 1 4 31 0.0948652798109484 0.0948652798109484 0.00810785671938786 FALSE ""
250 0.5 0.25 4 32 0.475336607538362 0.0246633924616383 0.177608451433368 FALSE ""
250 0.5 0.5 1 33 0.456462029253334 0.0435379707466665 0.200491743467814 FALSE ""
50 0 0.5 5 34 -0.103021973746939 0.103021973746939 0.0103515291284595 FALSE ""
250 1 1 3 35 0.999942245641667 5.77543583328843e-05 0.431160566929187 FALSE ""
50 1 0.5 3 36 1.05066977748935 0.0506697774893528 0.593630411999718 FALSE ""
50 0 0.5 4 37 -0.0485773256133309 0.0485773256133309 0.00280756543599952 FALSE ""
50 0 0.25 4 38 0.024696380946831 0.024696380946831 0.000594951175682172 FALSE ""
100 0.5 0.25 2 39 0.412150476691412 0.0878495233085879 0.145797782893213 FALSE ""
100 0.5 0.25 1 40 0.633732722378048 0.133732722378048 0.241801880626497 FALSE ""
250 0 1 2 41 -0.0262973402941736 0.0262973402941736 0.000627858525856211 FALSE ""
250 1 1 2 42 0.975520053648252 0.024479946351748 0.527784006234779 FALSE ""
100 0.5 1 3 43 0.515862011702243 0.0158620117022431 0.176121929395385 FALSE ""
250 0 0.25 3 44 0.0765745978801527 0.0765745978801527 0.00715920536046217 FALSE ""
50 1 1 1 45 0.879068734380975 0.120931265619025 0.222517302050269 FALSE ""
