"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
50 0.5 0.25 1 1 0.497341050872412 0.00265894912758841 0.209021430854053 FALSE ""
50 0.5 1 5 2 0.610126898420791 0.110126898420791 0.243274135272773 FALSE ""
50 0 0.25 5 3 0.0511291462424973 0.0511291462424973 0.00233838777542854 FALSE ""
100 1 0.25 1 4 1.06950896302366 0.0695089630236567 0.528039991567079 FALSE ""
50 0.5 1 2 5 0.645775064041173 0.145775064041173 0.424187105449351 FALSE ""
100 1 0.25 2 6 1.06353136725866 0.0635313672586642 0.515036870280229 FALSE ""
50 1 0.5 4 7 1.08958116883423 0.0895811688342303 0.60561522920889 FALSE ""
100 1 0.5 5 8 1.12661616040533 0.126616160405327 0.445464360153439 FALSE ""
100 0.5 0.25 3 9 0.538495847516591 0.0384958475165913 0.336348547024849 FALSE ""
250 0.5 1 4 10 0.515676729754861 0.0156767297548613 0.203170161661984 FALSE ""
50 1 0.25 1 11 1.06793843561693 0.0679384356169268 0.585791452402308 FALSE ""
50 0.5 0.25 3 12 0.306442554302738 0.193557445697262 0.107896112108797 FALSE ""
50 1 1 2 13 0.757973677779829 0.242026322220171 0.450584699168479 FALSE ""
250 0 0.5 4 14 0.105515319188577 0.105515319188577 0.00971618366573491 FALSE ""
250 1 0.25 2 15 1.0053852320669 0.00538523206689612 0.490160000425561 FALSE ""
100 0.5 1 2 16 0.510486371125392 0.0104863711253915 0.184178280746068 FALSE ""
100 0 1 3 17 0.147394837503628 0.147394837503628 0.0234392810124164 FALSE ""
250 0.5 1 2 18 0.43744661651133 0.0625533834886702 0.156287607538724 FALSE ""
50 0 0.25 3 19 0.0639363367980094 0.0639363367980094 0.00269558939850707 FALSE ""
100 0.5 0.5 1 20 0.484805581397121 0.0151944186028795 0.15184432661193 FALSE ""
50 0 0.5 5 21 0.0484263532343373 0.0484263532343373 0.00346069329180225 FALSE ""
250 0 0.25 3 22 0.0734112793673406 0.0734112793673406 0.00547260223867942 FALSE ""
100 1 0.5 3 23 0.817250639928658 0.182749360071342 0.33308546705923 FALSE ""
250 0.5 0.5 4 24 0.528651335633015 0.0286513356330149 0.219495758629176 FALSE ""
100 0 1 4 25 -0.0948320027334133 0.0948320027334133 0.00991608244267095 FALSE ""
100 1 0.5 2 26 1.05961887922267 0.0596188792226657 0.471798672052272 FALSE ""
250 0 0.5 1 27 -0.0641330179769202 0.0641330179769202 0.00320309402152943 FALSE ""
250 1 1 2 28 0.907020352202056 0.0929796477979439 0.471557825923115 FALSE ""
50 0.5 0.5 3 29 0.879000034286104 0.379000034286104 0.328846855347146 FALSE ""
50 0.5 1 4 30 0.664232162059099 0.164232162059099 0.31838112837836 FALSE ""
100 1 1 1 31 0.903342385548356 0.0966576144516444 0.439111715576678 FALSE ""
100 1 0.25 5 32 0.905714835092931 0.0942851649070687 0.434701846379469 FALSE ""
50 0.5 1 3 33 0.35781304079999 0.14218695920001 0.070201012565882 FALSE ""
250 1 0.25 4 34 1.00126035649823 0.0012603564982272 0.501648798979637 FALSE ""
100 0.5 0.25 2 35 0.57567176780217 0.07567176780217 0.246693774717501 FALSE ""
50 1 0.25 4 36 1.13727391605023 0.137273916050227 0.523403713963557 FALSE ""
250 0 0.25 2 37 0.142215304441433 0.142215304441433 0.0201203597003304 FALSE ""
100 0.5 0.5 2 38 0.551112924725589 0.0511129247255891 0.24552518201052 FALSE ""
250 0 0.25 5 39 0.0483167928629771 0.0483167928629771 0.00219769162720149 FALSE ""
50 0.5 0.5 4 40 0.3854824731102 0.1145175268898 0.179850456166213 FALSE ""
50 0.5 0.5 5 41 0.230155977655045 0.269844022344955 0.0514160989108937 FALSE ""
100 0.5 0.5 4 42 0.464199234523219 0.0358007654767812 0.234682739052068 FALSE ""
100 0 0.25 2 43 0.0926834870465648 0.0926834870465648 0.00848528205287873 FALSE ""
100 0 0.25 5 44 0.103623133387712 0.103623133387712 0.00939721175197151 FALSE ""
250 0 1 1 45 -0.105181141125314 0.105181141125314 0.0101550762908736 FALSE ""
250 0 1 5 46 -0.0799283770612839 0.0799283770612839 0.00525305692950971 FALSE ""
250 1 0.25 3 47 1.0582892532102 0.0582892532101975 0.500836301233152 FALSE ""
250 0 1 2 48 0.0557245786220376 0.0557245786220376 0.0037271783092975 FALSE ""
100 0 0.5 1 49 0.0073194328623828 0.0073194328623828 4.03808769190952e-05 FALSE ""
100 1 0.25 3 50 1.01918605202111 0.0191860520211065 0.559502188395433 FALSE ""
100 0 0.25 4 51 -0.118383200525181 0.118383200525181 0.0152887636872293 FALSE ""
50 0 1 3 52 0.0850342381896605 0.0850342381896605 0.00771949059196973 FALSE ""
100 0 0.25 3 53 -0.0641967250362758 0.0641967250362758 0.00503857445207659 FALSE ""
250 1 0.5 5 54 0.934634579289285 0.0653654207107155 0.478137863472824 FALSE ""
100 0.5 1 3 55 0.531410204813381 0.0314102048133805 0.246095451761732 FALSE ""
250 0.5 0.5 3 56 0.419582215094421 0.0804177849055789 0.143513032724287 FALSE ""
50 1 0.5 2 57 0.811847508315184 0.188152491684816 0.318093358942549 FALSE ""
50 0 1 2 58 0.0242293366881955 0.0242293366881955 0.000430541737820217 FALSE ""
250 0.5 0.25 1 59 0.527803232613184 0.0278032326131844 0.222274425001797 FALSE ""
50 1 1 5 60 1.05437432063114 0.0543743206311382 0.561851458294206 FALSE ""
100 0 0.5 3 61 -0.120021919323545 0.120021919323545 0.012336889343126 FALSE ""
250 1 0.25 1 62 0.931514610629905 0.0684853893700945 0.468727661943958 FALSE ""
100 0 1 1 63 -0.0522394970158995 0.0522394970158995 0.0022639048339277 FALSE ""
50 1 0.5 1 64 0.992685691073417 0.0073143089265828 0.610511066277913 FALSE ""
100 0.5 0.25 1 65 0.455315993689643 0.0446840063103566 0.153094131098791 FALSE ""
50 0 1 1 66 -0.0828557566222218 0.0828557566222218 0.00636720656082932 FALSE ""
250 0 0.25 4 67 -0.0263666461951867 0.0263666461951867 0.0007389286350618 FALSE ""
250 0.5 0.5 1 68 0.455464065729179 0.044535934270821 0.159785776084575 FALSE ""
250 0.5 0.5 2 69 0.495206992458823 0.00479300754117729 0.18842383907579 FALSE ""
100 0 0.5 2 70 -0.00130448573041519 0.00130448573041519 2.21894224532806e-06 FALSE ""
100 0 0.5 4 71 0.178491085757194 0.178491085757194 0.0302572942982886 FALSE ""
100 0.5 1 4 72 0.456110612524494 0.0438893874755061 0.150106526389899 FALSE ""
100 0 1 5 73 -0.00536853449192733 0.00536853449192733 3.73103232862337e-05 FALSE ""
50 0 0.5 4 74 0.0351616009991814 0.0351616009991814 0.00181526884237171 FALSE ""
250 0.5 0.25 2 75 0.518277108664979 0.0182771086649793 0.165471690057953 FALSE ""
250 1 0.5 3 76 1.03659270112142 0.0365927011214198 0.510614697752967 FALSE ""
50 0.5 0.25 2 77 0.378764898838934 0.121235101161066 0.200518173435057 FALSE ""
250 0.5 0.5 5 78 0.503730812145436 0.00373081214543636 0.197704317686628 FALSE ""
50 1 1 1 79 0.864492930506568 0.135507069493432 0.32160011539546 FALSE ""
